; File Creator:   Tom Woods       E-Mail: twoods@lasp.colorado.edu
; Modified: DLW 11-17-03 Added low_bin, high_bin 1 angstrom bin numbers
; Modified: DLW 11-18-03 Replaced low/high bins with wavelength bounds
; Modified: DLW 04-26-08 Using selected CHIANTI solar minimum lines
; 
; Data Set Overview
;  converted from ch_sp_qs_0-1100nm_more.lines
; -----------------
; Content:     Solar Lines for SDO EVE MEGS-A instrument
; Last Update: Sat Apr 26 12:04:44 2008
; Wavelength:  in nanometers (nm) for center of emission line
; Low:         Number of pixels on blue side for emission line
; High:        Number of pixels on red side for emission line
; Cal:         Non-zero means it is good line for wavelength calibration
; Low_wave:    Wavelength lower search limit (blue side) of emission line
; High_wave:   Wavelength upper search limit (red side) of emission line
; Ion:         Ion type for dominant emission
; Temperature: Maximum ion formation temperature for the dominant ion
; Ion Series:  Isoelectronics series for the dominant ion
; Blends:      A partial ion list that are within the emission feature
; Reader:      read_dat.pro
; 
; 
STRUCTURE = { WAVE: 0.0, LOW: 0, HIGH: 0, CAL: 0, LOW_WAVE: 0.0, HIGH_WAVE: 0.0, TEMP: 0.0, NAME: ' ', BLENDS: ' ' }
FORMAT = $(F8.4,I4,I4,I4,F7.2,F7.2,F5.2,A10,A20)
 3282 lines : Solar Lines from megs_solar_lines_blank.dat
 10 columns: wavelength (nm), Low, High, Cal, Low_wave, High_wave, log(temp), Ion, Ion_Series, Blended_Ions
  0.6648  -6   6   0   0.56   0.76 6.60   Si XIII
  0.6656  -6   6   0   0.57   0.77 6.60  Si XII d
  0.6664  -6   6   0   0.57   0.77 6.60  Si XII d
  0.6688  -6   6   0   0.57   0.77 6.60   Si XIII
  0.6739  -6   6   0   0.57   0.77 6.60  Si XII d
  0.6740  -6   6   0   0.57   0.77 6.60   Si XIII
  0.6743  -6   6   0   0.57   0.77 6.60  Si XII d
  0.7473  -6   6   0   0.65   0.85 6.60     Mg XI
  0.7757  -6   6   0   0.68   0.88 6.60    Al XII
  0.7851  -6   6   0   0.69   0.89 6.60     Mg XI
  0.7872  -6   6   0   0.69   0.89 6.60    Al XII
  0.8070  -6   6   0   0.71   0.91 6.50    Mg X d
  0.8419  -6   6   0   0.74   0.94 6.60    Mg XII
  0.9169  -6   6   0   0.82   1.02 6.60     Mg XI
  0.9180  -6   6   0   0.82   1.02 6.50    Mg X d
  0.9182  -6   6   0   0.82   1.02 6.50    Mg X d
  0.9189  -6   6   0   0.82   1.02 6.50    Mg X d
  0.9189  -6   6   0   0.82   1.02 6.50    Mg X d
  0.9193  -6   6   0   0.82   1.02 6.50    Mg X d
  0.9195  -6   6   0   0.82   1.02 6.50    Mg X d
  0.9222  -6   6   0   0.82   1.02 6.50    Mg X d
  0.9228  -6   6   0   0.82   1.02 6.60     Mg XI
  0.9231  -6   6   0   0.82   1.02 6.60     Mg XI
